"","From","To","Year","Points.x","Draw","Artist","Song","Language","Place","lyrics","neighbor","ally","mid"
"46","Albania","Spain",2010,7,NA,"Daniel Diges","""Algo Pequeñito""","Spanish",15,"  Algo pequeñito, algo chiquitito Una rosa blanca, una caricia, un beso dulce y un perdón Algo pequeñito, algo chiquitito Un gesto tierno, una mirada, un abrazo o una flor Algo pequeñito, algo chiquitito Un simple te quiero, con dulzura, con cariño y con pasión Es lo que te pido amor, mi vida se derrumba, me partes el corazón Trata pronto de cambiar, el tiempo se termina ahora de verdad Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón Algo pequeñito, algo muy bonito Tu pelo al viento que se enreda entre mis manos al calor Has sabido comprender que las pequeñas cosas son las que hacen esto arder Ahora trata de cambiar que el resto de las cosas ya se arreglarán Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora si me das Que te quiero con locura y siempre yo te voy a amar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Decidiste tú quererme y no romperme el corazón Y no romperme el corazón Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón ",0,0,0
"57","Albania","North Macedonia",2019,6,NA,NA,NA,NA,NA,NA,0,0,0
"69","Albania","The Netherlands",2019,7,NA,NA,NA,NA,NA,NA,0,0,0
"102","Albania","The Netherlands",2013,4,NA,NA,NA,NA,NA,NA,0,0,0
"125","Albania","North Macedonia",2019,12,NA,NA,NA,NA,NA,NA,0,0,0
"158","Armenia","The Netherlands",2014,4,NA,NA,NA,NA,NA,NA,0,0,0
"174","Armenia","The Netherlands",2019,10,NA,NA,NA,NA,NA,NA,0,0,0
"177","Armenia","North Macedonia",2019,10,NA,NA,NA,NA,NA,NA,0,0,0
"190","Armenia","The Netherlands",2019,6,NA,NA,NA,NA,NA,NA,0,0,0
"193","Armenia","The Netherlands",2018,3,NA,NA,NA,NA,NA,NA,0,0,0
"195","Armenia","Spain",2010,7,NA,"Daniel Diges","""Algo Pequeñito""","Spanish",15,"  Algo pequeñito, algo chiquitito Una rosa blanca, una caricia, un beso dulce y un perdón Algo pequeñito, algo chiquitito Un gesto tierno, una mirada, un abrazo o una flor Algo pequeñito, algo chiquitito Un simple te quiero, con dulzura, con cariño y con pasión Es lo que te pido amor, mi vida se derrumba, me partes el corazón Trata pronto de cambiar, el tiempo se termina ahora de verdad Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón Algo pequeñito, algo muy bonito Tu pelo al viento que se enreda entre mis manos al calor Has sabido comprender que las pequeñas cosas son las que hacen esto arder Ahora trata de cambiar que el resto de las cosas ya se arreglarán Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora si me das Que te quiero con locura y siempre yo te voy a amar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Decidiste tú quererme y no romperme el corazón Y no romperme el corazón Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón ",0,0,0
"284","Australia","The Netherlands",2017,4,NA,NA,NA,NA,NA,NA,0,0,0
"301","Australia","The Netherlands",2019,6,NA,NA,NA,NA,NA,NA,0,0,0
"306","Australia","The Netherlands",2019,6,NA,NA,NA,NA,NA,NA,0,0,0
"313","Australia","The Netherlands",2016,3,NA,NA,NA,NA,NA,NA,0,0,0
"318","Australia","North Macedonia",2019,7,NA,NA,NA,NA,NA,NA,0,0,0
"362","Austria","The Netherlands",2019,8,NA,NA,NA,NA,NA,NA,0,0,0
"388","Austria","The Netherlands",2017,12,NA,NA,NA,NA,NA,NA,0,0,0
"419","Austria","The Netherlands",2018,1,NA,NA,NA,NA,NA,NA,0,0,0
"423","Austria","The Netherlands",2013,8,NA,NA,NA,NA,NA,NA,0,0,0
"455","Austria","North Macedonia",2019,12,NA,NA,NA,NA,NA,NA,0,0,0
"472","Austria","The Netherlands",2016,6,NA,NA,NA,NA,NA,NA,0,0,0
"474","Austria","The Netherlands",2019,7,NA,NA,NA,NA,NA,NA,0,0,0
"482","Austria","The Netherlands",2014,10,NA,NA,NA,NA,NA,NA,0,0,0
"495","Azerbaijan","North Macedonia",2019,8,NA,NA,NA,NA,NA,NA,0,0,0
"547","Azerbaijan","The Netherlands",2019,7,NA,NA,NA,NA,NA,NA,0,0,0
"556","Azerbaijan","North Macedonia",2019,3,NA,NA,NA,NA,NA,NA,0,0,0
"653","Belarus","The Netherlands",2017,5,NA,NA,NA,NA,NA,NA,0,0,0
"712","Belarus","The Netherlands",2019,12,NA,NA,NA,NA,NA,NA,0,0,0
"759","Belarus","The Netherlands",2014,2,NA,NA,NA,NA,NA,NA,0,0,0
"769","Belgium","The Netherlands",2013,12,NA,NA,NA,NA,NA,NA,0,0,0
"819","Belgium","The Netherlands",2014,8,NA,NA,NA,NA,NA,NA,0,0,0
"822","Belgium","Spain",2010,1,NA,"Daniel Diges","""Algo Pequeñito""","Spanish",15,"  Algo pequeñito, algo chiquitito Una rosa blanca, una caricia, un beso dulce y un perdón Algo pequeñito, algo chiquitito Un gesto tierno, una mirada, un abrazo o una flor Algo pequeñito, algo chiquitito Un simple te quiero, con dulzura, con cariño y con pasión Es lo que te pido amor, mi vida se derrumba, me partes el corazón Trata pronto de cambiar, el tiempo se termina ahora de verdad Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón Algo pequeñito, algo muy bonito Tu pelo al viento que se enreda entre mis manos al calor Has sabido comprender que las pequeñas cosas son las que hacen esto arder Ahora trata de cambiar que el resto de las cosas ya se arreglarán Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora si me das Que te quiero con locura y siempre yo te voy a amar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Decidiste tú quererme y no romperme el corazón Y no romperme el corazón Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón ",0,0,0
"857","Belgium","The Netherlands",2016,10,NA,NA,NA,NA,NA,NA,0,0,0
"865","Belgium","The Netherlands",2019,12,NA,NA,NA,NA,NA,NA,0,0,0
"868","Belgium","The Netherlands",2017,10,NA,NA,NA,NA,NA,NA,0,0,0
"881","Belgium","The Netherlands",2019,6,NA,NA,NA,NA,NA,NA,0,0,0
"885","Belgium","The Netherlands",2018,10,NA,NA,NA,NA,NA,NA,0,0,0
"889","Belgium","The Netherlands",2016,4,NA,NA,NA,NA,NA,NA,0,0,0
"890","Belgium","The Netherlands",2018,12,NA,NA,NA,NA,NA,NA,0,0,0
"974","Bulgaria","Spain",2010,2,NA,"Daniel Diges","""Algo Pequeñito""","Spanish",15,"  Algo pequeñito, algo chiquitito Una rosa blanca, una caricia, un beso dulce y un perdón Algo pequeñito, algo chiquitito Un gesto tierno, una mirada, un abrazo o una flor Algo pequeñito, algo chiquitito Un simple te quiero, con dulzura, con cariño y con pasión Es lo que te pido amor, mi vida se derrumba, me partes el corazón Trata pronto de cambiar, el tiempo se termina ahora de verdad Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón Algo pequeñito, algo muy bonito Tu pelo al viento que se enreda entre mis manos al calor Has sabido comprender que las pequeñas cosas son las que hacen esto arder Ahora trata de cambiar que el resto de las cosas ya se arreglarán Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora si me das Que te quiero con locura y siempre yo te voy a amar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Decidiste tú quererme y no romperme el corazón Y no romperme el corazón Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón ",0,0,0
"999","Bulgaria","The Netherlands",2017,10,NA,NA,NA,NA,NA,NA,0,0,0
"1038","Bulgaria","The Netherlands",2016,2,NA,NA,NA,NA,NA,NA,0,0,0
"1060","Croatia","North Macedonia",2019,10,NA,NA,NA,NA,NA,NA,0,0,0
"1067","Croatia","The Netherlands",2017,1,NA,NA,NA,NA,NA,NA,0,0,0
"1112","Croatia","The Netherlands",2013,2,NA,NA,NA,NA,NA,NA,0,0,0
"1137","Croatia","The Netherlands",2019,6,NA,NA,NA,NA,NA,NA,0,0,0
"1138","Croatia","The Netherlands",2017,8,NA,NA,NA,NA,NA,NA,0,0,0
"1148","Croatia","The Netherlands",2019,4,NA,NA,NA,NA,NA,NA,0,0,0
"1161","Croatia","North Macedonia",2019,7,NA,NA,NA,NA,NA,NA,0,0,0
"1218","Cyprus","The Netherlands",2019,5,NA,NA,NA,NA,NA,NA,0,0,0
"1226","Cyprus","The Netherlands",2019,6,NA,NA,NA,NA,NA,NA,0,0,0
"1308","Czech Republic","North Macedonia",2019,7,NA,NA,NA,NA,NA,NA,0,0,0
"1322","Czech Republic","The Netherlands",2016,7,NA,NA,NA,NA,NA,NA,0,0,0
"1336","Czech Republic","The Netherlands",2019,6,NA,NA,NA,NA,NA,NA,0,0,0
"1351","Czech Republic","The Netherlands",2019,4,NA,NA,NA,NA,NA,NA,0,0,0
"1355","Czech Republic","The Netherlands",2017,8,NA,NA,NA,NA,NA,NA,0,0,0
"1410","Denmark","The Netherlands",2019,7,NA,NA,NA,NA,NA,NA,0,0,0
"1425","Denmark","The Netherlands",2016,7,NA,NA,NA,NA,NA,NA,0,0,0
"1430","Denmark","The Netherlands",2017,1,NA,NA,NA,NA,NA,NA,0,0,0
"1436","Denmark","The Netherlands",2016,7,NA,NA,NA,NA,NA,NA,0,0,0
"1437","Denmark","The Netherlands",2019,7,NA,NA,NA,NA,NA,NA,0,0,0
"1440","Denmark","The Netherlands",2017,5,NA,NA,NA,NA,NA,NA,0,0,0
"1443","Denmark","The Netherlands",2013,10,NA,NA,NA,NA,NA,NA,0,0,0
"1478","Denmark","The Netherlands",2014,10,NA,NA,NA,NA,NA,NA,0,0,0
"1509","Denmark","The Netherlands",2018,5,NA,NA,NA,NA,NA,NA,0,0,0
"1518","Denmark","North Macedonia",2019,10,NA,NA,NA,NA,NA,NA,0,0,0
"1544","Estonia","The Netherlands",2017,4,NA,NA,NA,NA,NA,NA,0,0,0
"1548","Estonia","The Netherlands",2019,8,NA,NA,NA,NA,NA,NA,0,0,0
"1555","Estonia","The Netherlands",2019,7,NA,NA,NA,NA,NA,NA,0,0,0
"1567","Estonia","The Netherlands",2013,7,NA,NA,NA,NA,NA,NA,0,0,0
"1569","Estonia","The Netherlands",2016,6,NA,NA,NA,NA,NA,NA,0,0,0
"1604","Estonia","The Netherlands",2018,1,NA,NA,NA,NA,NA,NA,0,0,0
"1637","Estonia","The Netherlands",2014,12,NA,NA,NA,NA,NA,NA,0,0,0
"1660","Finland","The Netherlands",2019,5,NA,NA,NA,NA,NA,NA,0,0,0
"1707","Finland","The Netherlands",2014,8,NA,NA,NA,NA,NA,NA,0,0,0
"1722","Finland","The Netherlands",2013,8,NA,NA,NA,NA,NA,NA,0,0,0
"1751","Finland","The Netherlands",2016,10,NA,NA,NA,NA,NA,NA,0,0,0
"1758","Finland","Spain",2010,4,NA,"Daniel Diges","""Algo Pequeñito""","Spanish",15,"  Algo pequeñito, algo chiquitito Una rosa blanca, una caricia, un beso dulce y un perdón Algo pequeñito, algo chiquitito Un gesto tierno, una mirada, un abrazo o una flor Algo pequeñito, algo chiquitito Un simple te quiero, con dulzura, con cariño y con pasión Es lo que te pido amor, mi vida se derrumba, me partes el corazón Trata pronto de cambiar, el tiempo se termina ahora de verdad Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón Algo pequeñito, algo muy bonito Tu pelo al viento que se enreda entre mis manos al calor Has sabido comprender que las pequeñas cosas son las que hacen esto arder Ahora trata de cambiar que el resto de las cosas ya se arreglarán Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora si me das Que te quiero con locura y siempre yo te voy a amar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Decidiste tú quererme y no romperme el corazón Y no romperme el corazón Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón ",0,0,0
"1767","Finland","North Macedonia",2019,7,NA,NA,NA,NA,NA,NA,0,0,0
"1776","Finland","The Netherlands",2019,8,NA,NA,NA,NA,NA,NA,0,0,0
"1783","Finland","The Netherlands",2018,2,NA,NA,NA,NA,NA,NA,0,0,0
"1799","France","The Netherlands",2017,4,NA,NA,NA,NA,NA,NA,0,0,0
"1873","France","The Netherlands",2018,6,NA,NA,NA,NA,NA,NA,0,0,0
"1874","France","North Macedonia",2019,7,NA,NA,NA,NA,NA,NA,0,0,0
"1888","France","The Netherlands",2016,7,NA,NA,NA,NA,NA,NA,0,0,0
"1889","France","The Netherlands",2019,12,NA,NA,NA,NA,NA,NA,0,0,0
"1896","France","The Netherlands",2014,8,NA,NA,NA,NA,NA,NA,0,0,0
"1922","France","The Netherlands",2019,5,NA,NA,NA,NA,NA,NA,0,0,0
"1964","Georgia","The Netherlands",2019,8,NA,NA,NA,NA,NA,NA,0,0,0
"2006","Georgia","The Netherlands",2019,5,NA,NA,NA,NA,NA,NA,0,0,0
"2014","Georgia","Spain",2010,2,NA,"Daniel Diges","""Algo Pequeñito""","Spanish",15,"  Algo pequeñito, algo chiquitito Una rosa blanca, una caricia, un beso dulce y un perdón Algo pequeñito, algo chiquitito Un gesto tierno, una mirada, un abrazo o una flor Algo pequeñito, algo chiquitito Un simple te quiero, con dulzura, con cariño y con pasión Es lo que te pido amor, mi vida se derrumba, me partes el corazón Trata pronto de cambiar, el tiempo se termina ahora de verdad Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón Algo pequeñito, algo muy bonito Tu pelo al viento que se enreda entre mis manos al calor Has sabido comprender que las pequeñas cosas son las que hacen esto arder Ahora trata de cambiar que el resto de las cosas ya se arreglarán Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora si me das Que te quiero con locura y siempre yo te voy a amar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Decidiste tú quererme y no romperme el corazón Y no romperme el corazón Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón ",0,0,0
"2027","Georgia","North Macedonia",2019,2,NA,NA,NA,NA,NA,NA,0,0,0
"2048","Georgia","The Netherlands",2018,5,NA,NA,NA,NA,NA,NA,0,0,0
"2051","Georgia","The Netherlands",2017,1,NA,NA,NA,NA,NA,NA,0,0,0
"2085","Germany","The Netherlands",2017,1,NA,NA,NA,NA,NA,NA,0,0,0
"2093","Germany","The Netherlands",2019,8,NA,NA,NA,NA,NA,NA,0,0,0
"2097","Germany","The Netherlands",2014,12,NA,NA,NA,NA,NA,NA,0,0,0
"2115","Germany","The Netherlands",2017,7,NA,NA,NA,NA,NA,NA,0,0,0
"2153","Germany","The Netherlands",2016,4,NA,NA,NA,NA,NA,NA,0,0,0
"2164","Germany","The Netherlands",2016,3,NA,NA,NA,NA,NA,NA,0,0,0
"2166","Germany","The Netherlands",2018,5,NA,NA,NA,NA,NA,NA,0,0,0
"2175","Germany","The Netherlands",2019,7,NA,NA,NA,NA,NA,NA,0,0,0
"2188","Germany","North Macedonia",2019,7,NA,NA,NA,NA,NA,NA,0,0,0
"2260","Greece","The Netherlands",2014,8,NA,NA,NA,NA,NA,NA,0,0,0
"2309","Greece","The Netherlands",2019,6,NA,NA,NA,NA,NA,NA,0,0,0
"2381","Hungary","The Netherlands",2014,12,NA,NA,NA,NA,NA,NA,0,0,0
"2388","Hungary","The Netherlands",2017,8,NA,NA,NA,NA,NA,NA,0,0,0
"2401","Hungary","The Netherlands",2018,4,NA,NA,NA,NA,NA,NA,0,0,0
"2408","Hungary","The Netherlands",2019,8,NA,NA,NA,NA,NA,NA,0,0,0
"2431","Hungary","The Netherlands",2018,4,NA,NA,NA,NA,NA,NA,0,0,0
"2432","Hungary","The Netherlands",2013,5,NA,NA,NA,NA,NA,NA,0,0,0
"2434","Hungary","North Macedonia",2019,10,NA,NA,NA,NA,NA,NA,0,0,0
"2469","Hungary","The Netherlands",2016,2,NA,NA,NA,NA,NA,NA,0,0,0
"2470","Hungary","The Netherlands",2016,6,NA,NA,NA,NA,NA,NA,0,0,0
"2482","Iceland","The Netherlands",2014,12,NA,NA,NA,NA,NA,NA,0,0,0
"2490","Iceland","The Netherlands",2019,5,NA,NA,NA,NA,NA,NA,0,0,0
"2493","Iceland","The Netherlands",2016,6,NA,NA,NA,NA,NA,NA,0,0,0
"2496","Iceland","The Netherlands",2013,8,NA,NA,NA,NA,NA,NA,0,0,0
"2500","Iceland","The Netherlands",2019,7,NA,NA,NA,NA,NA,NA,0,0,0
"2532","Iceland","The Netherlands",2016,12,NA,NA,NA,NA,NA,NA,0,0,0
"2554","Iceland","North Macedonia",2019,8,NA,NA,NA,NA,NA,NA,0,0,0
"2616","Ireland","The Netherlands",2018,3,NA,NA,NA,NA,NA,NA,0,0,0
"2625","Ireland","The Netherlands",2014,10,NA,NA,NA,NA,NA,NA,0,0,0
"2647","Ireland","The Netherlands",2017,4,NA,NA,NA,NA,NA,NA,0,0,0
"2694","Ireland","The Netherlands",2013,6,NA,NA,NA,NA,NA,NA,0,0,0
"2703","Ireland","The Netherlands",2019,8,NA,NA,NA,NA,NA,NA,0,0,0
"2730","Ireland","The Netherlands",2019,8,NA,NA,NA,NA,NA,NA,0,0,0
"2746","Ireland","The Netherlands",2016,8,NA,NA,NA,NA,NA,NA,0,0,0
"2751","Ireland","North Macedonia",2019,5,NA,NA,NA,NA,NA,NA,0,0,0
"2764","Israel","The Netherlands",2019,2,NA,NA,NA,NA,NA,NA,0,0,0
"2793","Israel","Spain",2010,1,NA,"Daniel Diges","""Algo Pequeñito""","Spanish",15,"  Algo pequeñito, algo chiquitito Una rosa blanca, una caricia, un beso dulce y un perdón Algo pequeñito, algo chiquitito Un gesto tierno, una mirada, un abrazo o una flor Algo pequeñito, algo chiquitito Un simple te quiero, con dulzura, con cariño y con pasión Es lo que te pido amor, mi vida se derrumba, me partes el corazón Trata pronto de cambiar, el tiempo se termina ahora de verdad Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón Algo pequeñito, algo muy bonito Tu pelo al viento que se enreda entre mis manos al calor Has sabido comprender que las pequeñas cosas son las que hacen esto arder Ahora trata de cambiar que el resto de las cosas ya se arreglarán Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora si me das Que te quiero con locura y siempre yo te voy a amar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Decidiste tú quererme y no romperme el corazón Y no romperme el corazón Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón ",0,0,0
"2859","Israel","The Netherlands",2019,12,NA,NA,NA,NA,NA,NA,0,0,0
"2893","Italy","The Netherlands",2019,5,NA,NA,NA,NA,NA,NA,0,0,0
"2914","Italy","The Netherlands",2014,4,NA,NA,NA,NA,NA,NA,0,0,0
"2919","Italy","North Macedonia",2019,10,NA,NA,NA,NA,NA,NA,0,0,0
"2976","Italy","The Netherlands",2016,4,NA,NA,NA,NA,NA,NA,0,0,0
"3034","Latvia","The Netherlands",2019,12,NA,NA,NA,NA,NA,NA,0,0,0
