"","From","To","Year","Points.x","Draw","Artist","Song","Language","Place","lyrics","neighbor","ally","mid"
"3043","Latvia","The Netherlands",2014,12,NA,NA,NA,NA,NA,NA,0,0,0
"3051","Latvia","Spain",2010,5,NA,"Daniel Diges","""Algo Pequeñito""","Spanish",15,"  Algo pequeñito, algo chiquitito Una rosa blanca, una caricia, un beso dulce y un perdón Algo pequeñito, algo chiquitito Un gesto tierno, una mirada, un abrazo o una flor Algo pequeñito, algo chiquitito Un simple te quiero, con dulzura, con cariño y con pasión Es lo que te pido amor, mi vida se derrumba, me partes el corazón Trata pronto de cambiar, el tiempo se termina ahora de verdad Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón Algo pequeñito, algo muy bonito Tu pelo al viento que se enreda entre mis manos al calor Has sabido comprender que las pequeñas cosas son las que hacen esto arder Ahora trata de cambiar que el resto de las cosas ya se arreglarán Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora si me das Que te quiero con locura y siempre yo te voy a amar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Decidiste tú quererme y no romperme el corazón Y no romperme el corazón Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón ",0,0,0
"3100","Latvia","North Macedonia",2019,8,NA,NA,NA,NA,NA,NA,0,0,0
"3112","Latvia","The Netherlands",2016,3,NA,NA,NA,NA,NA,NA,0,0,0
"3118","Latvia","The Netherlands",2018,5,NA,NA,NA,NA,NA,NA,0,0,0
"3126","Latvia","The Netherlands",2019,5,NA,NA,NA,NA,NA,NA,0,0,0
"3169","Lithuania","The Netherlands",2017,2,NA,NA,NA,NA,NA,NA,0,0,0
"3209","Lithuania","The Netherlands",2014,12,NA,NA,NA,NA,NA,NA,0,0,0
"3214","Lithuania","The Netherlands",2018,3,NA,NA,NA,NA,NA,NA,0,0,0
"3232","Lithuania","The Netherlands",2013,4,NA,NA,NA,NA,NA,NA,0,0,0
"3268","Lithuania","Spain",2010,8,NA,"Daniel Diges","""Algo Pequeñito""","Spanish",15,"  Algo pequeñito, algo chiquitito Una rosa blanca, una caricia, un beso dulce y un perdón Algo pequeñito, algo chiquitito Un gesto tierno, una mirada, un abrazo o una flor Algo pequeñito, algo chiquitito Un simple te quiero, con dulzura, con cariño y con pasión Es lo que te pido amor, mi vida se derrumba, me partes el corazón Trata pronto de cambiar, el tiempo se termina ahora de verdad Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón Algo pequeñito, algo muy bonito Tu pelo al viento que se enreda entre mis manos al calor Has sabido comprender que las pequeñas cosas son las que hacen esto arder Ahora trata de cambiar que el resto de las cosas ya se arreglarán Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora si me das Que te quiero con locura y siempre yo te voy a amar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Decidiste tú quererme y no romperme el corazón Y no romperme el corazón Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón ",0,0,0
"3274","Lithuania","The Netherlands",2019,12,NA,NA,NA,NA,NA,NA,0,0,0
"3279","Lithuania","The Netherlands",2019,7,NA,NA,NA,NA,NA,NA,0,0,0
"3315","Macedonia","The Netherlands",2016,2,NA,NA,NA,NA,NA,NA,0,0,0
"3318","Macedonia","The Netherlands",2013,2,NA,NA,NA,NA,NA,NA,0,0,0
"3355","Macedonia","The Netherlands",2014,7,NA,NA,NA,NA,NA,NA,0,0,0
"3414","Malta","North Macedonia",2019,3,NA,NA,NA,NA,NA,NA,0,0,0
"3419","Malta","The Netherlands",2016,3,NA,NA,NA,NA,NA,NA,0,0,0
"3492","Malta","The Netherlands",2019,7,NA,NA,NA,NA,NA,NA,0,0,0
"3502","Malta","The Netherlands",2019,10,NA,NA,NA,NA,NA,NA,0,0,0
"3534","Malta","North Macedonia",2019,5,NA,NA,NA,NA,NA,NA,0,0,0
"3606","Moldova","The Netherlands",2019,6,NA,NA,NA,NA,NA,NA,0,0,0
"3609","Moldova","North Macedonia",2019,12,NA,NA,NA,NA,NA,NA,0,0,0
"3627","Moldova","The Netherlands",2019,3,NA,NA,NA,NA,NA,NA,0,0,0
"3648","Moldova","The Netherlands",2018,1,NA,NA,NA,NA,NA,NA,0,0,0
"3676","Moldova","Spain",2010,4,NA,"Daniel Diges","""Algo Pequeñito""","Spanish",15,"  Algo pequeñito, algo chiquitito Una rosa blanca, una caricia, un beso dulce y un perdón Algo pequeñito, algo chiquitito Un gesto tierno, una mirada, un abrazo o una flor Algo pequeñito, algo chiquitito Un simple te quiero, con dulzura, con cariño y con pasión Es lo que te pido amor, mi vida se derrumba, me partes el corazón Trata pronto de cambiar, el tiempo se termina ahora de verdad Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón Algo pequeñito, algo muy bonito Tu pelo al viento que se enreda entre mis manos al calor Has sabido comprender que las pequeñas cosas son las que hacen esto arder Ahora trata de cambiar que el resto de las cosas ya se arreglarán Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora si me das Que te quiero con locura y siempre yo te voy a amar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Decidiste tú quererme y no romperme el corazón Y no romperme el corazón Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón ",0,0,0
"3722","Montenegro","North Macedonia",2019,6,NA,NA,NA,NA,NA,NA,0,0,0
"3736","Montenegro","The Netherlands",2018,3,NA,NA,NA,NA,NA,NA,0,0,0
"3806","Montenegro","North Macedonia",2019,7,NA,NA,NA,NA,NA,NA,0,0,0
"3815","North Macedonia","The Netherlands",2019,7,NA,NA,NA,NA,NA,NA,0,0,0
"3822","North Macedonia","The Netherlands",2019,7,NA,NA,NA,NA,NA,NA,0,0,0
"3831","Norway","The Netherlands",2014,12,NA,NA,NA,NA,NA,NA,0,0,0
"3850","Norway","The Netherlands",2018,5,NA,NA,NA,NA,NA,NA,0,0,0
"3870","Norway","The Netherlands",2019,7,NA,NA,NA,NA,NA,NA,0,0,0
"3888","Norway","The Netherlands",2017,4,NA,NA,NA,NA,NA,NA,0,0,0
"3896","Norway","The Netherlands",2019,8,NA,NA,NA,NA,NA,NA,0,0,0
"3906","Norway","The Netherlands",2018,4,NA,NA,NA,NA,NA,NA,0,0,0
"3929","Norway","The Netherlands",2016,6,NA,NA,NA,NA,NA,NA,0,0,0
"3932","Norway","The Netherlands",2013,8,NA,NA,NA,NA,NA,NA,0,0,0
"3942","Norway","North Macedonia",2019,10,NA,NA,NA,NA,NA,NA,0,0,0
"3968","Poland","North Macedonia",2019,8,NA,NA,NA,NA,NA,NA,0,0,0
"4000","Poland","The Netherlands",2019,10,NA,NA,NA,NA,NA,NA,0,0,0
"4004","Poland","The Netherlands",2018,8,NA,NA,NA,NA,NA,NA,0,0,0
"4020","Poland","The Netherlands",2017,8,NA,NA,NA,NA,NA,NA,0,0,0
"4031","Poland","The Netherlands",2014,12,NA,NA,NA,NA,NA,NA,0,0,0
"4093","Portugal","North Macedonia",2019,5,NA,NA,NA,NA,NA,NA,0,0,0
"4096","Portugal","The Netherlands",2019,8,NA,NA,NA,NA,NA,NA,0,0,0
"4119","Portugal","Spain",2010,12,NA,"Daniel Diges","""Algo Pequeñito""","Spanish",15,"  Algo pequeñito, algo chiquitito Una rosa blanca, una caricia, un beso dulce y un perdón Algo pequeñito, algo chiquitito Un gesto tierno, una mirada, un abrazo o una flor Algo pequeñito, algo chiquitito Un simple te quiero, con dulzura, con cariño y con pasión Es lo que te pido amor, mi vida se derrumba, me partes el corazón Trata pronto de cambiar, el tiempo se termina ahora de verdad Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón Algo pequeñito, algo muy bonito Tu pelo al viento que se enreda entre mis manos al calor Has sabido comprender que las pequeñas cosas son las que hacen esto arder Ahora trata de cambiar que el resto de las cosas ya se arreglarán Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora si me das Que te quiero con locura y siempre yo te voy a amar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Decidiste tú quererme y no romperme el corazón Y no romperme el corazón Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón ",1,1,0
"4158","Portugal","The Netherlands",2017,3,NA,NA,NA,NA,NA,NA,0,0,0
"4168","Portugal","The Netherlands",2014,10,NA,NA,NA,NA,NA,NA,0,0,0
"4173","Portugal","The Netherlands",2019,12,NA,NA,NA,NA,NA,NA,0,0,0
"4192","Romania","The Netherlands",2018,8,NA,NA,NA,NA,NA,NA,0,0,0
"4203","Romania","Spain",2010,2,NA,"Daniel Diges","""Algo Pequeñito""","Spanish",15,"  Algo pequeñito, algo chiquitito Una rosa blanca, una caricia, un beso dulce y un perdón Algo pequeñito, algo chiquitito Un gesto tierno, una mirada, un abrazo o una flor Algo pequeñito, algo chiquitito Un simple te quiero, con dulzura, con cariño y con pasión Es lo que te pido amor, mi vida se derrumba, me partes el corazón Trata pronto de cambiar, el tiempo se termina ahora de verdad Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón Algo pequeñito, algo muy bonito Tu pelo al viento que se enreda entre mis manos al calor Has sabido comprender que las pequeñas cosas son las que hacen esto arder Ahora trata de cambiar que el resto de las cosas ya se arreglarán Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora si me das Que te quiero con locura y siempre yo te voy a amar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Decidiste tú quererme y no romperme el corazón Y no romperme el corazón Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón ",0,0,0
"4226","Romania","The Netherlands",2017,12,NA,NA,NA,NA,NA,NA,0,0,0
"4255","Romania","The Netherlands",2019,12,NA,NA,NA,NA,NA,NA,0,0,0
"4275","Romania","The Netherlands",2019,5,NA,NA,NA,NA,NA,NA,0,0,0
"4277","Romania","The Netherlands",2013,2,NA,NA,NA,NA,NA,NA,0,0,0
"4284","Romania","North Macedonia",2019,7,NA,NA,NA,NA,NA,NA,0,0,0
"4307","Romania","The Netherlands",2014,3,NA,NA,NA,NA,NA,NA,0,0,0
"4320","Russia","The Netherlands",2013,3,NA,NA,NA,NA,NA,NA,0,0,0
"4340","Russia","North Macedonia",2019,4,NA,NA,NA,NA,NA,NA,0,0,0
"4348","Russia","The Netherlands",2014,3,NA,NA,NA,NA,NA,NA,0,0,0
"4371","Russia","The Netherlands",2019,5,NA,NA,NA,NA,NA,NA,0,0,0
"4388","Russia","Spain",2010,4,NA,"Daniel Diges","""Algo Pequeñito""","Spanish",15,"  Algo pequeñito, algo chiquitito Una rosa blanca, una caricia, un beso dulce y un perdón Algo pequeñito, algo chiquitito Un gesto tierno, una mirada, un abrazo o una flor Algo pequeñito, algo chiquitito Un simple te quiero, con dulzura, con cariño y con pasión Es lo que te pido amor, mi vida se derrumba, me partes el corazón Trata pronto de cambiar, el tiempo se termina ahora de verdad Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón Algo pequeñito, algo muy bonito Tu pelo al viento que se enreda entre mis manos al calor Has sabido comprender que las pequeñas cosas son las que hacen esto arder Ahora trata de cambiar que el resto de las cosas ya se arreglarán Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora si me das Que te quiero con locura y siempre yo te voy a amar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Decidiste tú quererme y no romperme el corazón Y no romperme el corazón Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón ",0,0,0
"4456","San Marino","The Netherlands",2019,6,NA,NA,NA,NA,NA,NA,0,0,0
"4464","San Marino","The Netherlands",2014,2,NA,NA,NA,NA,NA,NA,0,0,0
"4517","San Marino","The Netherlands",2016,4,NA,NA,NA,NA,NA,NA,0,0,0
"4549","San Marino","The Netherlands",2017,7,NA,NA,NA,NA,NA,NA,0,0,0
"4551","San Marino","The Netherlands",2019,3,NA,NA,NA,NA,NA,NA,0,0,0
"4594","Serbia","The Netherlands",2018,7,NA,NA,NA,NA,NA,NA,0,0,0
"4614","Serbia","The Netherlands",2019,3,NA,NA,NA,NA,NA,NA,0,0,0
"4623","Serbia","North Macedonia",2019,12,NA,NA,NA,NA,NA,NA,0,0,0
"4628","Serbia","North Macedonia",2019,12,NA,NA,NA,NA,NA,NA,0,0,0
"4679","Serbia","The Netherlands",2016,5,NA,NA,NA,NA,NA,NA,0,0,0
"4718","Slovenia","The Netherlands",2016,1,NA,NA,NA,NA,NA,NA,0,0,0
"4733","Slovenia","The Netherlands",2017,1,NA,NA,NA,NA,NA,NA,0,0,0
"4735","Slovenia","The Netherlands",2018,7,NA,NA,NA,NA,NA,NA,0,0,0
"4747","Slovenia","Spain",2010,5,NA,"Daniel Diges","""Algo Pequeñito""","Spanish",15,"  Algo pequeñito, algo chiquitito Una rosa blanca, una caricia, un beso dulce y un perdón Algo pequeñito, algo chiquitito Un gesto tierno, una mirada, un abrazo o una flor Algo pequeñito, algo chiquitito Un simple te quiero, con dulzura, con cariño y con pasión Es lo que te pido amor, mi vida se derrumba, me partes el corazón Trata pronto de cambiar, el tiempo se termina ahora de verdad Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón Algo pequeñito, algo muy bonito Tu pelo al viento que se enreda entre mis manos al calor Has sabido comprender que las pequeñas cosas son las que hacen esto arder Ahora trata de cambiar que el resto de las cosas ya se arreglarán Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora si me das Que te quiero con locura y siempre yo te voy a amar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Decidiste tú quererme y no romperme el corazón Y no romperme el corazón Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón ",0,0,0
"4784","Slovenia","The Netherlands",2019,5,NA,NA,NA,NA,NA,NA,0,0,0
"4794","Slovenia","North Macedonia",2019,12,NA,NA,NA,NA,NA,NA,0,0,0
"4803","Slovenia","The Netherlands",2014,10,NA,NA,NA,NA,NA,NA,0,0,0
"4806","Slovenia","The Netherlands",2013,7,NA,NA,NA,NA,NA,NA,0,0,0
"4832","Slovenia","The Netherlands",2019,6,NA,NA,NA,NA,NA,NA,0,0,0
"4842","Slovenia","North Macedonia",2019,2,NA,NA,NA,NA,NA,NA,0,0,0
"4869","Spain","The Netherlands",2017,2,NA,NA,NA,NA,NA,NA,0,0,0
"4903","Spain","The Netherlands",2017,1,NA,NA,NA,NA,NA,NA,0,0,0
"4904","Spain","The Netherlands",2019,8,NA,NA,NA,NA,NA,NA,0,0,0
"4934","Spain","The Netherlands",2014,7,NA,NA,NA,NA,NA,NA,0,0,0
"4949","Spain","The Netherlands",2016,3,NA,NA,NA,NA,NA,NA,0,0,0
"4980","Spain","The Netherlands",2019,8,NA,NA,NA,NA,NA,NA,0,0,0
"5051","Sweden","The Netherlands",2016,2,NA,NA,NA,NA,NA,NA,0,0,0
"5056","Sweden","The Netherlands",2013,8,NA,NA,NA,NA,NA,NA,0,0,0
"5061","Sweden","The Netherlands",2018,1,NA,NA,NA,NA,NA,NA,0,0,0
"5081","Sweden","The Netherlands",2017,3,NA,NA,NA,NA,NA,NA,0,0,0
"5084","Sweden","The Netherlands",2014,10,NA,NA,NA,NA,NA,NA,0,0,0
"5100","Sweden","The Netherlands",2019,6,NA,NA,NA,NA,NA,NA,0,0,0
"5113","Sweden","North Macedonia",2019,2,NA,NA,NA,NA,NA,NA,0,0,0
"5114","Sweden","The Netherlands",2019,12,NA,NA,NA,NA,NA,NA,0,0,0
"5118","Sweden","The Netherlands",2016,5,NA,NA,NA,NA,NA,NA,0,0,0
"5129","Switzerland","The Netherlands",2016,5,NA,NA,NA,NA,NA,NA,0,0,0
"5136","Switzerland","North Macedonia",2019,12,NA,NA,NA,NA,NA,NA,0,0,0
"5159","Switzerland","The Netherlands",2014,10,NA,NA,NA,NA,NA,NA,0,0,0
"5166","Switzerland","North Macedonia",2019,2,NA,NA,NA,NA,NA,NA,0,0,0
"5215","Switzerland","The Netherlands",2017,7,NA,NA,NA,NA,NA,NA,0,0,0
"5220","Switzerland","The Netherlands",2019,10,NA,NA,NA,NA,NA,NA,0,0,0
"5223","Switzerland","The Netherlands",2019,6,NA,NA,NA,NA,NA,NA,0,0,0
"5243","Switzerland","The Netherlands",2013,4,NA,NA,NA,NA,NA,NA,0,0,0
"5315","The Netherlands","North Macedonia",2019,3,NA,NA,NA,NA,NA,NA,0,0,0
"5436","Ukraine","The Netherlands",2018,8,NA,NA,NA,NA,NA,NA,0,0,0
"5456","Ukraine","The Netherlands",2017,3,NA,NA,NA,NA,NA,NA,0,0,0
"5524","Ukraine","Spain",2010,4,NA,"Daniel Diges","""Algo Pequeñito""","Spanish",15,"  Algo pequeñito, algo chiquitito Una rosa blanca, una caricia, un beso dulce y un perdón Algo pequeñito, algo chiquitito Un gesto tierno, una mirada, un abrazo o una flor Algo pequeñito, algo chiquitito Un simple te quiero, con dulzura, con cariño y con pasión Es lo que te pido amor, mi vida se derrumba, me partes el corazón Trata pronto de cambiar, el tiempo se termina ahora de verdad Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón Algo pequeñito, algo muy bonito Tu pelo al viento que se enreda entre mis manos al calor Has sabido comprender que las pequeñas cosas son las que hacen esto arder Ahora trata de cambiar que el resto de las cosas ya se arreglarán Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora si me das Que te quiero con locura y siempre yo te voy a amar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Decidiste tú quererme y no romperme el corazón Y no romperme el corazón Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón ",0,0,0
"5542","United Kingdom","The Netherlands",2017,4,NA,NA,NA,NA,NA,NA,0,0,0
"5561","United Kingdom","The Netherlands",2019,4,NA,NA,NA,NA,NA,NA,0,0,0
"5587","United Kingdom","The Netherlands",2013,6,NA,NA,NA,NA,NA,NA,0,0,0
"5615","United Kingdom","The Netherlands",2019,6,NA,NA,NA,NA,NA,NA,0,0,0
"5617","United Kingdom","The Netherlands",2014,8,NA,NA,NA,NA,NA,NA,0,0,0
"5636","United Kingdom","North Macedonia",2019,12,NA,NA,NA,NA,NA,NA,0,0,0
